Video,MultinomialNB,BernoulliNB,GaussianNB,SVM Linear,SVM RBF,SVM Poly,Logistic,DecisionTree,RandomForest,1-NN,3-NN,5-NN
01-9bZkp7q19f0,0.8315218406,0.9097176523,0.7201931414,0.8925302065,0.9071147352,0.8100925873,0.9097176523,0.8874245217,0.9271726499,0.8339078479,0.8545501977,0.8041315601
04-CevxZvSJLk8,0.8118990305,0.8925302065,0.6986107936,0.8165701889,0.799456337,0.653113307,0.8545501977,0.7379537418,0.8261595987,0.6846968652,0.6617241025,0.6467616668
07-KQ6zr6kCPj8,0.7871419263,0.9269061061,0.8825730213,0.9700408283,0.9250286181,0.7467041657,0.9396190204,0.9238245822,0.8802704567,0.7640022204,0.7609976091,0.7851121825
08-uelHwf8o7_U,0.8275162811,0.9114101763,0.8412081155,0.9254432932,0.9258484157,0.868777751,0.9404364339,0.9700930439,0.9252285399,0.7462395955,0.8581909696,0.8492842774
09-pRpeEdMmmQ0,0.8952418676,0.8584020781,0.8666267686,0.9137317223,0.875550225,0.7560734877,0.9137317223,0.8570082695,0.9137317223,0.7864150541,0.7711856584,0.6672953011
