Video,MultinomialNB,BernoulliNB,GaussianNB,SVM Linear,SVM RBF,SVM Poly,Logistic,DecisionTree,RandomForest,1-NN,3-NN,5-NN
01-9bZkp7q19f0,0.8693182879,0.8718127501,0.7785901801,0.9097176523,0.9251872673,0.8207242792,0.9071147352,0.8893288683,0.8375256864,0.7937253933,0.8303364917,0.7825510569
04-CevxZvSJLk8,0.8303364917,0.8424235392,0.7171087883,0.8375256864,0.8375256864,0.6164962024,0.8545501977,0.7026301626,0.8588975015,0.6218684121,0.7082005278,0.6136964858
07-KQ6zr6kCPj8,0.8193370031,0.9554329451,0.8856894519,0.9554329451,0.9396190204,0.7593722571,0.9250286181,0.9544463681,0.8521791683,0.7890888975,0.7472093718,0.7851121825
08-uelHwf8o7_U,0.7831029818,0.8957811711,0.8313803523,0.9264789167,0.9407762604,0.9012224519,0.9407762604,0.9109419181,0.9254432932,0.7476305081,0.8194499351,0.8367264009
09-pRpeEdMmmQ0,0.9310132159,0.9145233786,0.8823440788,0.875550225,0.875550225,0.7560734877,0.875550225,0.9283658459,0.9137317223,0.8172664977,0.8172664977,0.6672953011
