Video,BernoulliNB,GaussianNB,SVM Linear,SVM RBF,SVM Poly,Logistic,DecisionTree,RandomForest,1-NN,3-NN,5-NN
01-9bZkp7q19f0,0.7925939239,0.8496617761,0.8315218406,0.8514850867,0.8514850867,0.8315218406,0.7757975234,0.8514850867,0.9071147352,0.8893288683,0.9251872673
04-CevxZvSJLk8,0.7171087883,0.5283959493,0.7757975234,0.8118990305,0.8874245217,0.7580980436,0.6038810849,0.7379537418,0.727547602,0.7715167498,0.7554678731
07-KQ6zr6kCPj8,0.74081704,0.7609976091,0.8217853152,0.8338156368,0.7851121825,0.8217853152,0.7871419263,0.8498766036,0.8521791683,0.838422353,0.8217853152
08-uelHwf8o7_U,0.8511405835,0.7129648289,0.8804227641,0.895275098,0.8826194947,0.8804227641,0.6199883874,0.866904545,0.85513596,0.8416848786,0.8849047466
09-pRpeEdMmmQ0,0.9145233786,0.7022464328,0.9641829229,0.946477375,0.9137317223,0.9641829229,0.8223536968,1.0,0.8971815245,0.8329093808,0.8172664977
