COMMENT_ID,AUTHOR,DATE,CONTENT,TAG
comment_1,"Author1","2015-11-23T17:23:40","this is a tiny comment",0
comment_2,"Author2","2015-11-23T17:23:40","I love dogs and cats",0
comment_3,"Author3","2015-11-23T17:23:40","this is a spam comment",1
