Video,BernoulliNB,GaussianNB,SVM Linear,SVM RBF,SVM Poly,Logistic,DecisionTree,RandomForest,1-NN,3-NN,5-NN
01-9bZkp7q19f0,0.7785901801,0.8693182879,0.8136413051,0.9245283019,0.8893288683,0.8514850867,0.66803139,0.8136413051,0.8874245217,0.9251872673,0.8893288683
04-CevxZvSJLk8,0.5400617249,0.4906533815,0.8874245217,0.8118990305,0.8893288683,0.8693182879,0.3396831102,0.7201931414,0.7613869876,0.8041315601,0.8261595987
07-KQ6zr6kCPj8,0.5549301363,0.7609976091,0.7944240283,0.7890888975,0.7944240283,0.8114408707,0.5887959749,0.8179317889,0.8357350137,0.7913914621,0.7749542855
08-uelHwf8o7_U,0.715377703,0.7001125659,0.8511405835,0.9254432932,0.9283283965,0.866904545,0.5251585994,0.8804227641,0.85513596,0.8714536652,0.8714536652
09-pRpeEdMmmQ0,0.8952418676,0.6858288122,0.9822320878,0.9288263961,0.8944504593,0.9822320878,0.7717862305,0.9115229415,0.8172664977,0.8487112382,0.8646830117
