Video,MultinomialNB,BernoulliNB,GaussianNB,SVM Linear,SVM RBF,SVM Poly,Logistic,DecisionTree,RandomForest,1-NN,3-NN,5-NN
01-9bZkp7q19f0,0.8165701889,0.9097176523,0.6603773585,0.8496617761,0.8303364917,0.8165701889,0.8339078479,0.8588975015,0.9097176523,0.4822428222,0.749307543,0.7785901801
04-CevxZvSJLk8,0.8165701889,0.8925302065,0.6793662205,0.8893288683,0.9097176523,0.7785901801,0.8893288683,0.660848048,0.8588975015,0.3738782506,0.6688560541,0.799456337
07-KQ6zr6kCPj8,0.725698453,0.9269061061,0.8179317889,0.8498766036,0.8498766036,0.6345698512,0.8498766036,0.9543413101,0.9250286181,0.6118576644,0.6698160499,0.683783193
08-uelHwf8o7_U,0.8106228487,0.9114101763,0.8412081155,0.9404364339,0.9551819819,0.895275098,0.9258484157,0.9700930439,0.895275098,0.3910274125,0.299750762,0.6276554202
09-pRpeEdMmmQ0,0.9137317223,0.8584020781,0.8666267686,0.8929173328,0.8929173328,0.8609448384,0.8929173328,0.8570082695,0.9137317223,0.7522347799,0.7863053156,0.7144688041
