Video,MultinomialNB,BernoulliNB,GaussianNB,SVM Linear,SVM RBF,SVM Poly,Logistic,DecisionTree,RandomForest,1-NN,3-NN,5-NN
01-9bZkp7q19f0,0.8514850867,0.8718127501,0.7785901801,0.9058216273,0.9071147352,0.8755950358,0.9058216273,0.8375256864,0.8588975015,0.5262348116,0.8136413051,0.8514850867
04-CevxZvSJLk8,0.8339078479,0.8424235392,0.7171087883,0.9097176523,0.9097176523,0.7877335709,0.8893288683,0.7181324987,0.8424235392,0.43401854,0.7082005278,0.7825510569
07-KQ6zr6kCPj8,0.8338503687,0.9554329451,0.8856894519,0.8787754047,0.8787754047,0.6418715765,0.8935537047,0.9700408283,0.9269061061,0.6229033889,0.7865276943,0.8031050479
08-uelHwf8o7_U,0.8275162811,0.8957811711,0.8313803523,0.8803721755,0.8803721755,0.8966708486,0.895275098,0.9264789167,0.9254432932,0.6268846904,0.6101438366,0.8092271055
09-pRpeEdMmmQ0,0.9290968936,0.9145233786,0.8823440788,0.946477375,0.946477375,0.9641829229,0.946477375,0.9283658459,0.9137317223,0.8567316917,0.9290968936,0.8307177053
