Video,BernoulliNB,GaussianNB,SVM Linear,SVM RBF,SVM Poly,Logistic,DecisionTree,RandomForest,1-NN,3-NN,5-NN
01-9bZkp7q19f0,0.6416236527,0.6509636439,0.7937253933,0.7757975234,0.7406101713,0.7937253933,0.5283959493,0.7757975234,0.4721336852,0.4629100499,0.4629100499
04-CevxZvSJLk8,0.5127301186,0.689255623,0.6803360514,0.7406101713,0.7379537418,0.7171087883,0.3401680257,0.7757975234,0.3287979746,0.3769685175,0.3364523097
07-KQ6zr6kCPj8,0.3190988234,0.3594687411,0.5905810201,0.6675134852,0.4580949595,0.5206277575,0.3169420763,0.5704571682,0.3150734023,0.4849013738,0.4286260491
08-uelHwf8o7_U,0.3533408045,0.4289885932,0.564808227,0.6709097027,0.5979430421,0.5497926192,0.3850760798,0.5347198047,0.2956613299,0.2373104782,0.4634267837
09-pRpeEdMmmQ0,0.6415538898,0.659516982,0.6956866424,0.7134633834,0.6511723889,0.6774629531,0.4979182658,0.6415538898,0.659516982,0.5586963064,0.5700150282
