Video,BernoulliNB,GaussianNB,SVM Linear,SVM RBF,SVM Poly,Logistic,DecisionTree,RandomForest,1-NN,3-NN,5-NN
01-9bZkp7q19f0,0.4747501098,0.4067903932,0.7741362849,0.8693182879,0.6646501538,0.7741362849,0.377425678,0.7785901801,0.3829197905,0.4327892115,0.4109974683
04-CevxZvSJLk8,0.4730472704,0.4977957277,0.7548513561,0.7937253933,0.660848048,0.7363735392,0.3401680257,0.5916849455,0.5015067839,0.3174292168,0.3350831266
07-KQ6zr6kCPj8,0.3455152174,0.5263971601,0.5878878019,0.7268726391,0.6376160743,0.6337573171,0.4503374641,0.7102009319,0.5238974833,0.5276704785,0.5626426346
08-uelHwf8o7_U,0.3087142478,0.3788353737,0.7454449477,0.7454449477,0.7494523151,0.7607361942,0.416020027,0.71782244,0.3198431107,0.1867637952,0.1846260926
09-pRpeEdMmmQ0,0.3194755357,0.4096502346,0.6415538898,0.7492810796,0.7691865911,0.623659748,0.3537247408,0.8029459179,0.5624866997,0.4749219914,0.2601821466
